status;http;url;source;markdown;src_chars;local_chars;live_chars;local_cov;live_cov;src_img;local_img;live_img;src_yt;live_yt;issues;missing_local;missing_live;mojibake;error
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/les-differents-types-de-donnees/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Les differents types de donnees.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\les-differents-types-de-donnees.md;346;346;346;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/les-informations-contenues-dans-un-ticket-caisse-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Les informations contenues dans un ticket caisse Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\les-informations-contenues-dans-un-ticket-caisse-questions.md;230;230;230;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/structurer-les-donnees-de-vente-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Structurer les donnees de vente Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\structurer-les-donnees-de-vente-questions.md;420;420;420;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/table-de-donnees-vente-fichier/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Table de donnees vente Fichier.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\table-de-donnees-vente-fichier.md;0;0;0;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/tables-donnees-structurees-issues-des-tickets-caisse-image/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Tables donnees structurees issues des tickets caisse Image.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\tables-donnees-structurees-issues-des-tickets-caisse-image.md;0;0;0;1.0000;1.0000;0;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/ticket-de-caisse-faut-il-le-demander-ou-non-video/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Ticket de caisse faut il le demander ou non Video.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\ticket-de-caisse-faut-il-le-demander-ou-non-video.md;0;27;27;1.0000;1.0000;0;0;0;1;1;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/tickets-de-caisse-la-gestion-au-marketing/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Tickets de caisse la gestion au marketing.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\tickets-de-caisse-la-gestion-au-marketing.md;996;996;996;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/trois-tickets-de-caisse-image/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Trois tickets de caisse Image.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\trois-tickets-de-caisse-image.md;0;0;0;1.0000;1.0000;0;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/types-de-donnees-tables-activite/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Types de donnees tables Activite.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\types-de-donnees-tables-activite.md;120;120;120;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/une-base-de-donnees-relationnelle-schema/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Une base de donnees relationnelle Schema.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\une-base-de-donnees-relationnelle-schema.md;0;0;0;1.0000;1.0000;0;1;1;0;0;;;;;
