severity;category;page;detail;target
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-csv/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-csv/preparation/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-csv/presentation/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-csv/traitement-des-donnees-avec-python/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-csv/vers-le-notebook-capytale-site/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;lien_interne_casse;donnees-structurees/en-codant/manipuler-le-format-csv/villes-virgule-csv-fichier/index.html;Cible locale absente dans le site construit.;./Villes virgule csv Fichier.csv
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-csv/villes-virgule-csv-fichier/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/avant-de-commencer/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/la-station-spatiale-internationale/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/la-visite-de-l-iss-video/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/les-elements-constitutifs-de-l-iss-schema/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/preparation/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/presentation/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/traitement-des-donnees-avec-python/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/vers-le-notebook-capytale-site/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-json/vue-de-l-iss-au-dessus-la-terre-image/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/arbre-des-balises-du-fichier-xml-d-exemple-schema/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/avant-de-commencer/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/fichier-xml-d-exemple/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;lien_interne_casse;donnees-structurees/en-codant/manipuler-le-format-xml/films-xml-fichier-xml/index.html;Cible locale absente dans le site construit.;./Films xml Fichier XML.xml
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/films-xml-fichier-xml/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/preparation/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/presentation/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/traitement-des-donnees-avec-python/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/en-codant/manipuler-le-format-xml/vers-le-notebook-capytale-site/index.html;Ressource locale absente (script@src).;../../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/cinemas-actifs-en-france-premieres-questions/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/cinemas-actifs-en-france-questions-avec-le-tableur/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/classement-des-prenoms-en-france-2021/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/code-beautify-site/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;lien_interne_casse;donnees-structurees/exercices/contacts-perso-csv-fichier/index.html;Cible locale absente dans le site construit.;./Contacts perso csv Fichier.csv
FAIL;ressource_absente;donnees-structurees/exercices/contacts-perso-csv-fichier/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/differents-formats-de-fichiers-donnees/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/differents-formats-de-fichiers-donnees-questions/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/email-recu-document/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/geolocalisation-des-cinemas-actifs-en-france-site/index.html;Ressource locale absente (script@src).;../../../javascripts/fix-links.js
FAIL;ressource_absente;donnees-structurees/exercices/index.html;Ressource locale absente (script@src).;../../javascripts/fix-links.js
